#V,I mA,uncert volt,uncert current
14.875,67.7,0.0094375,0.1404
14.941,32.004,0.0094705,0.069008
14.99,5.534,0.009495,0.016068
14.998,0.559,0.009499,0.006118
14.999,0.143,0.0094995,0.005286
