G-val,delta-g,delta-R,R,delta_g-uncert,delat_R_uncert,R_uncert
714.25,71.8178375,0,0,0.1,0.0001,0.0001
698.35,70.2190925,570.5,570.5,0.1,0.5,0.5
684.6,68.83653,963,392.5,0.1,1.5,1
676.05,67.9768275,1355,392,0.1,2,0.5
663.1,66.674705,1748.5,393.5,0.1,3,1
652.2,65.57871,2140.5,392,0.1,3.5,0.5
638.9,64.241395,2533,392.5,0.1,4.5,1
629.4,63.28617,2927.5,394.5,0.1,5.5,1
616.4,61.97902,3320.5,393,0.1,6.5,1
593.9,59.716645,3715,394.5,0.1,7,0.5
581.65,58.4849075,4107.5,392.5,0.1,7.5,0.5
567.95,57.1073725,4501,393.5,0.1,8,0.5
557.25,56.0314875,4894.5,393.5,0.1,8.5,0.5
539.25,54.2215875,5288,393.5,0.1,9,0.5
