#Change in G (gals),Change inR (cm),g_uncert,r_uncert
-19.85,507.5,0.03,1
-7.3,392.5,0.03,0.5
-5.25,393.5,0.03,1
-19.1,392,0.03,0.5
-10.5,392.5,0.03,1
-6.55,394.5,0.03,0.5
-12,393,0.03,1
-13.5,394.54,0.03,1
-11.25,392.5,0.03,0.5
-11.75,393.5,0.03,0.5
-11.5,393.5,0.03,0.5
-11.45,393.5,0.03,0.5
-12.2,393.5,0.03,0.5
